access,defibrillator:location,defibrillator:location:pl,description,description:pl,indoor,latitude,location,longitude,note,note:pl,opening_hours,operator,osm_id,phone,wikimedia_commons
yes,"Wojewódzka Biblioteka Publiczna w Krakowie, parter po lewej stronie przy wejściu.",,,,yes,50.0649226,,19.9296658,,,24/7,Wojewódzka Biblioteka Publiczna w Krakowie,2469523539,,
,,,,,,50.0519562,,19.9485958,,,,,2469524600,,
customers,"po lewej stronie koło schodów, przy recepcji B",,,,,52.2181727,,21.0080375,,,,,2470990306,,
,,,,,,50.0940608,,19.976778,,,,,2478722974,,
,,,,,,50.0638676,,19.9619939,,,,,2507857330,,
,,,,,,50.0708767,,20.034817,,,,,2507858371,,
,,,,,yes,50.0512581,,19.991,,,,,2507858847,,
,,,,,,50.0864245,,20.059433,,,,,2507859270,,
,,,,,,50.019921,,19.9372804,,,,,2507866150,,
,,,,,,50.0844182,,19.9313785,,,,,2507867311,,
,,,,,,50.0386911,,19.9664045,,,,,2514733002,,
permissive,"Pawilon Wyspiański, od strony ul. Grodzkiej.",,,,yes,50.0588419,,19.9377766,,,Mo-Su 11:00-19:00,KBF,2514742258,,
,,,,,,50.0719911,,19.8007134,,,,,2514750661,,
,,,,,,50.0539621,,19.9197335,,,,,2515045295,,
customers,"Na drugim piętrze, naprzeciwko wyjścia z windy",,,,yes,52.3103254,,21.018624,,,,,2547964164,,
yes,,,,,no,50.9011687,,15.7367853,,,,,2600713560,+48 75 7526478,
customers,naprzeciwko wejścia,,,,yes,50.0685041,,19.9009145,,,,,2600805941,,
yes,,,,,yes,54.5213406,,18.5300981,,,24/7,,2620114936,,
,,,,,no,49.8416759,,19.5765297,,,,Ochotnicza Straż Pożarna w Łękawicy,2682018694,,
,,,,,yes,50.0678992,,19.9496502,,,,,2837093936,,
,,,,,yes,50.1790114,,18.886705,,,,,2875729271,,
,ściana budynku,,,,no,54.4791136,,18.5522762,,,24/7,Gdyńskie Centrum Zdrowia,2935265413,,
private,"Ściana frontowa głównego budynku Szkoły Policji, 20 m na lewo od głównego wejścia.",,,,no,54.4721252,,17.0313873,,,24/7,,2967320410,,
,,,,,,53.6581255,,17.3468843,,,,,2972656721,,
yes,"Na ścianie budynku toalety, po lewej stronie od wejścia",,apteczka,,,53.6651519,,17.3608343,,,24/7,,2972658169,+48 59 834 22 91,
,,,,,yes,54.6678565,,17.0483098,,,,,2999706509,,
,"Budynek Wydziału Informatyki, Elektroniki i Telekomunikacji – D17",,,,yes,50.0680966,,19.9125399,,,,,3052351698,,
,W środku budynku,,,,yes,50.8022261,,21.4250099,,,,Urząd Skarbowy w Opatowie,3097990681,,
,,,,,,49.855733,,19.3318443,,,24/7,,3320073588,+48 33 870 2300,
,"przystanek tramwajowy w tunelu, ograniczona dostępność, w nocy brak pomiedzy 23:45-4:30",,,,yes,50.0682927,,19.9477076,,,Mo-Su 4:30-23:45,Urząd Miasta Krakowa - Biuro ds. Zdrowia,3472197244,,
,Przystanek tramwajowy Dworzec Główny Tunel. Dostępny od 4:30-23:45 (w nocy brak dostępu),,,,yes,50.0681583,,19.947712,,,Mo-Su 04:30-23:45,Urząd Miasta Krakowa - Biuro ds. Zdrowia,3472197245,,
yes,"Na ścianie budynku B od strony dziedzińca, przy portalu bramy wjazdowej. Defibrylator dostępny w godzinach pracy urzędu.",,,,no,52.6067702,,16.5821196,,,Mo-Fr 07:30-15:30,Starostwa Powiatowego w Szamotułach,3686841638,,
,,,,,,50.0286592,,19.9515496,,,Mo-Sa 8:00-22:00; Su 9:00-22:00,,3694021962,,
,,,,,,50.0059428,,19.959952,,,,,3694050617,,
,,,,,,50.0305055,,19.9073539,,,,,3806383418,,
,,,,,,50.9119809,,20.6372515,,,24/7,,3821764634,+48 41 331 40 91,
,,,,,,50.9002578,,20.5890581,,,24/7,,3821764635,+48 41 365 12 22,
yes,Na ścianie przy Informacji kolejowej,,,,yes,51.098558,indoor,17.0365317,,,24/7,,3880422293,,https://commons.wikimedia.org/wiki/File:AED_Wroclaw_main_station_2013_P02.JPG
,,,,,yes,50.2581939,,19.0178985,,"AED umieszczony jest na filarze na wysokości 1,5 m",24/7,,3941534847,,
yes,ulica J. Słowackiego 12;ul. Słowackiego 12,,,,no,49.7812117,outdoor,22.7751538,,,24/7,Urząd Miejski w Przemyślu,4024070186,,
,,,,,,53.4410166,,14.5746479,,,,,4039039921,,
,stróżówka,,,,,50.0867345,,22.2252202,,,,,4154826876,,
permissive,"AED umieszczony za portiernią na parterze na ścianie na wysokości 1,5 m",,,,yes,50.2717976,,19.0252191,,"AED umieszczony za portiernią na parterze na ścianie na wysokości 1,5 m",24/7,Główny Instytut Górnictwa,4298570511,+48 32 2592800,
,,,,,yes,54.1747661,,15.5649523,,,,MOSIR - ratownicy basen,4430364322,,
customers,na ścianie po lewej stronie,,https://westnordost.de/p/122799.jpg,,yes,54.1767138,,15.5763547,,,Mo-Fr 08:00-15:30,,4430364323,,
,,,,,,54.1850866,,15.5538931,,,24/7,,4430364328,,
private,Samochód ratowniczo-gaśniczy.,,,,yes,53.6551996,,14.5073449,,,,OSP Trzebież,4434128287,,
,,,,,yes,53.5514013,,14.5575791,,,24/7,Komenda Powiatowa Państwowej Straży Pożarnej w Policach,4434134387,,
,Defibrylator znajduje się w biurze obsługi klienta sklepu Media Markt (na prawo od wejścia do sklepu Media Markt).,,,,yes,53.1233113,,23.1782039,,,Mo-Sa 09:00-21:00;Su 10:00-20:00;PH off,Media Markt,4500244691,,
,,,,,yes,53.4466444,,14.5170932,,,Mo-Fr 07:30-15:30,Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej,4602178740,,
,Portiernia w holu wejściowym Sejmiku Województwa,,,,yes,53.4368722,,14.5327581,,,,,4602267041,,
permissive,,,,,yes,49.9977939,,19.8514664,,,,,4769327015,+48122521100,
,,,,,no,50.777219,,15.723826,,,,,5018244800,,
,,,,,,51.74926,,19.4609785,,,,,5077579697,,
customers,Na ścianie zew. Restauracji El Molo – lewa strona wejścia przy bramkach na drewniną część Mola,,,,yes,54.4463894,,18.5710773,,,24/7,MOSiR Sopot,5078786542,58 550 12 15,
,,,,,,49.6234517,,20.6921121,,,,,5137004846,,
,W hotelu Sofitel,,,,,52.2399553,,21.0134473,,,,Sofitel,5140047708,,
,,,,,,53.8618851,,21.3095723,,,,,5208917524,,
no,353[S]21,,,,,50.8097756,,19.1288005,,,,Jednostka Ratowniczo - Gaśnicza nr 3,5215893251,,
,"Ground floor, guard's office",,,,yes,51.7471385,,19.4558725,,,,Politechnika Łódzka,5226674714,,
yes,Ściana budynku OSP,,,,no,51.8030157,,22.1615272,,,,OSP Radoryż Koscielny,5239174812,,
yes,na prawo od schodów prowadzących do wejścia do Urzędu Miejskiego,,,,no,53.1339215,,23.1724868,,,24/7,Urząd Miejski w Białymstoku,5300533096,,
,,,,,,51.8225507,,19.9000752,,,,,5380053530,,
,,,,,,50.0186612,,19.8015296,,,,,5394422342,,
,Remiza OSP,,,,,49.9524591,,22.5936153,,,,OSP Roźwienica,5445022097,998,
customers,,,,,yes,53.8948134,,14.2744842,,,,,5495972212,,
yes,,,AED w przedsionku schroniska,,yes,49.6534742,indoor,19.9919411,,,,,5502733172,,
,"Decathlon, przy wejściu głównym. Pn.-sob. 9.00-21.00, nd. 9.00-20.00",,,,yes,50.06588,,19.9875053,,,,Decathlon,5628200513,,
,,,,,yes,49.7832322,,19.0576428,,,,,5646566847,,
yes,na zewnątrz od strony ul. Towarowej,,,,no,53.3390967,,15.0305219,,,24/7,zintegrowane centrum przesiadkowe,5659215019,,
,"Media Markt
Kielce, Radomska 8 (Punkt Obsługi KLienta)",,,,yes,50.8869959,,20.6652887,,,,,5702241125,,
,Remiza OSP,,,,,49.9373787,,22.6114988,,,,OSP Rudołowice,5749100630,998,
,Remiza OSP,,,,,49.9396309,,22.523438,,,,OSP Czudowice,5749104282,998,
,Remiza OSP,,,,,49.8993401,,22.5701262,,,,OSP Chorzów,5749104786,998,
,Remiza OSP,,,,,49.8618718,,22.5592784,,,,OSP Wola Węgierska,5749105038,998,
,,,,,,50.8137135,,17.2052106,,,,,5785074337,,
permit,Samochód ratowniczo-gaśniczy,,,,yes,50.8006021,,20.4686921,,,,OSP Chęciny,5809585077,112,
private,Samochód ratowniczo-gaśniczy,,,,,50.7518396,,20.4793312,,,,OSP Wolica,5809585078,,
private,Samochód ratowniczo-gaśniczy,,,,,50.7949812,,20.5321988,,,,OSP Wola Murowana,5809585079,,
private,Samochód ratowniczo-gaśniczy,,,,,50.809181,,20.3495909,,,,OSP Bolmin,5809585080,,
yes,Na prawo od wejścia do przejścia podziemnego,,,,no,53.1352493,,23.1630505,,,24/7,Urząd Miejski w Białymstoku,5812079503,,
,,,,,,49.6056433,,20.4903287,,,,,5813444583,,
yes,"Park Planty, trawnik przy ławkach naprzeciwko fontanny",,,,no,53.1267293,,23.1661788,,,24/7,Urząd Miejski w Białymstoku,5814467844,,
,,,,,yes,53.9098582,,14.267315,,,,,5907388191,,
,,,,,,53.3119861,,17.9482818,,,,,5908146662,,
,,,,,,53.3076719,,17.9425634,,,,,5908146696,,
,,,,,yes,52.4483219,,16.9917368,,,06:30-22:00,,5940566953,,
,,,Ogólnodostępny całodobowy defibrylator AED 24/7,,,51.2944426,,18.1530741,są 2,,24/7,,5964324786,,
customers,urządzenie usytuowane jest w głównym holu budynku po lewej stronie od wejścia;,,,,yes,52.3951167,,20.9313776,,,Mo-Fr 08:00-16:00,Urząd Miasta Legionowo,5991073424,+48 22 774 20 31,
,reception,,,,yes,52.401019,,20.9412882,,,04:00-00:00,,5991073425,,
,,,,,yes,51.7481247,,19.4398884,,,,Decathlon,6092751894,,
permit,Główna brama — portiernia,,,,yes,49.8680487,,19.2270087,,,24/7,Grupa Kety S.A.,6207121845,,
,Mistrzówka na hali produkcyjnej,,,,yes,50.0589796,,21.3999832,,,Mo-Fr 06:00-14:00,Ventigros sp z o.o.,6286852001,,
,Luxmed,,,,yes,50.0329314,indoor,19.9379541,,,,,6292181561,,
private,wall,,,,yes,52.2718345,,20.9783611,,,,,6306557163,,
private,wall,,,,yes,52.2717066,,20.9747184,,,,,6306557164,,
,,,,,,50.0283232,,21.0128033,,,,,6345380355,,
,,,,,,50.02826,,21.0060853,,,,,6345380356,,
,,,,,,50.9933718,,19.4415453,,,,,6382745125,,
yes,na ścianie budynku,,,,no,53.1311934,,23.1567132,,,24/7,Urząd Miejski w Białymstoku,6383408506,,
,hall,,,,yes,50.2743519,indoor,19.0268029,,,,,6389678274,,
,,,,,yes,54.4600232,,18.5578608,,,08:00-22:00,,6426841352,,
private,samochód ratowniczo-gaśniczy,,,,yes,53.9615593,,18.3485086,,,,OSP PINCZYN,6432675613,,
,,,column at cashier row,,,51.1563677,,15.0309593,,,,,6443814503,,
,,,,,,51.108514,,15.592527,,,,,6505176033,,
,,,,,,51.111286,,15.584405,,,,,6505176034,,
yes,Przy głównym wejściu po lewej stronie,,,,yes,49.2291462,,19.8587463,,,,Schronisko PTTK Ornak,6524589908,,
customers,Hol parteru budynku przy sekretariacie,Hol parteru budynku przy sekretariacie,,,yes,54.3958785,,18.3999508,,,,,6573841296,,
,,,,,yes,50.0743203,,19.9347209,,,,,6593525155,,
,"Na ścianie OSP, od frontu",,,,no,50.0407925,,19.5873211,,,,,6594890931,,
,,,,,yes,50.0534597,,19.9339855,,,,,6637655082,,
,,,,,no,52.5127736,,15.2400314,,,24/7,,6698943492,,
private,wall,,,,yes,52.4487633,,21.0069542,,,,,6700064511,,
,,,,,yes,50.0610964,,19.9247504,,,,,6794452850,,
yes,Na budynku OSP,,,,no,51.8411987,,19.4648628,,,,OSP Łódź-Łagiewniki,6795886812,+48 42 659 03 85,
yes,Na ścianie budynku,,,,no,50.5734746,indoor,19.522442,,,24/7,Grupa Jurajska GOPR,6855228607,,
,wall,,,,yes,50.4513432,,16.6566096,,,,,6857736292,,
,,,,,,54.5717703,,18.3973858,,,,,6877360309,,
,W budynku Dworca PKP na ścianie przed kasami biletowymi,,,,yes,52.4027088,,16.9124346,,,,,6878332105,,
yes,Na ścianie Punktu Informacji Turystycznej na Placu Kościuszki,,,,no,51.5308599,,20.0049703,,,24/7,Urząd Miasta w Tomaszowie Mazowieckim,6879580602,,
,,,,,yes,53.1364036,,23.1618042,,,,,6880747966,,
,,,,,yes,50.2574417,,18.5497452,,,,OSP Smolnica,6893295751,,
customers,w kawiarni,,,,yes,50.0617178,indoor,19.9376193,,,,,6984782727,,
,,,,,yes,50.1386626,,19.3994382,,,,,7095994467,,
,Defibrylator znajduje się wewnątrz budynku na ścianie przy recepcji,,,,yes,49.5243344,,20.653015,,,Mo-Fr 08:00-18:00,"Niepubliczny Zakład Opieki Zdrowotnej ""Medyk"" w Barcicach",7101108969,+48 18 446 60 67,
,,,,,,51.9406013,,15.5088036,,,,,7105318578,,
yes,słup obok parkingu rowerowego,,,,no,54.4017139,,18.5765813,,,24/7,WBiZK,7125572263,+48 58 778 60 00,
yes,,,,,no,51.837963,,16.5807889,,,Jan-Dec: 24/7,Nova Clinic,7140191785,,
,,,,,,51.9393313,,15.5041825,,,,,7157294910,,
yes,left side of front wall,Lewa strona ściany frontowej budynku.,,,no,49.9807043,,21.9384671,,,24/7,,7174930540,,
yes,Inside bus stop shelter,Wewnątrz wiaty przystankowej,,,no,50.04064,,22.0011888,,,24/7,,7174960472,,
,"AED znajduje się na ścianie wewnątrz budynku przy kasie kina ""Sokół""",,,,yes,49.6223895,,20.6949123,,,Mo-Fr 08:00-21:00; Sa-Su 12:00-21:00,Kino SOKÓŁ,7181005581,+48 18 448 26 43;+48 18 448 26 00,
,,,,,,54.1257188,,17.9752794,,,,,7187081531,,
,Defibrylator AED znajduje się na zewnątrz budynku. przy wejściu do sklepu firmowego zakładu porcelany stołowej Lubiana.,,,,no,54.1163714,,17.8704563,,,,Salon sprzedaży: Zakłady Porcelany Stołowej LUBIANA SA,7187081532,,
,,,,,yes,54.0985655,,17.7880589,,,,,7187081533,,
,Defibrylator na wyposażeniu Ochotniczej Straży Pożarnej w Dziemianach.,,,,yes,54.0080653,,17.7664838,,,,OSP Dziemiany,7187081534,,
,,,AED na wyposażeniu jednostki OSP Raduń,,yes,53.9751761,,17.7694765,,,,,7187081535,,
,,,,,yes,54.0978721,,18.0611782,,,,,7187081536,,
,,,,,yes,54.1838877,,18.1023693,,,,,7187081537,,
,,,,,yes,54.1362962,,18.0334898,,,,,7187081538,,
,,,,,,54.0782324,,18.2226077,,,,,7187081539,,
private,Samochód ratowniczo-gaśniczy,,,,yes,54.0328403,,18.1357513,,,,OSP Nowe Polaszki,7187081540,,
private,Samochód ratowniczo-gaśniczy,,,,yes,53.9908009,,18.17052,,,,OSP Stara Kiszewa,7187081541,,
private,Samochód ratowniczo-gaśniczy,,,,yes,53.9683282,,18.0921333,,,,OSP Konarzyny,7187081542,,
,,,,,yes,54.1332718,,18.205691,,,,,7187081543,,
,,,,,yes,54.1471683,,18.1715028,,,,,7187081544,,
,,,,,yes,54.1157685,,18.1619353,,,,,7187081545,,
customers,On the wall opposite to cash desks.,Na ścianie naprzeciwko kas,,,yes,50.0367636,,21.9750944,,,Mo-Sa 07:00-21:00,Leroy Merlin,7206180203,,
,,,,,,54.2464107,,20.807112,,,,,7239407480,,
,,,,,,54.2468613,,20.8072641,,,,,7239407481,,
,,,,,,54.2413615,,20.8086897,,,,,7239407482,,
,,,,,,54.2474988,,20.807604,,,,,7239407483,,
,,,,,,54.2507566,,20.8153357,,,Mo-Fr 08:00-20:00,,7239407484,,
,,,,,,54.2463641,,20.8109597,,,,,7239491885,,
,,,,,,54.2514762,,20.811503,,,,,7239491886,,
,,,,,,52.2877899,,20.9792029,,,,,7245243849,,
,W holu budynku na parterze.,,,,yes,53.4392899,,14.5394395,,,Mo-Fr 07:00-16:00,,7256349201,,
,na filarze przy recepcji,,,,yes,54.4046115,,18.5762778,,,,,7274234834,,
yes,,słup obok wiaty przystankowej,,,no,54.4099393,,18.5672737,,,24/7,Miasto Gdańsk,7274264910,+48 58 778 60 00,
yes,na prawo od wejścia do IMGW,,,,no,54.520795,,18.5463799,,,24/7,,7277213717,,
,,,,,yes,52.2805552,,20.9743021,,,,,7311782458,,
yes,Wewnątrz remizy OSP Minkowice Oławski. Na ścianie frontowej natomiast znajduje się przycisk alarmujące służby ratunkowe,,,,yes,51.0188426,,17.4633425,,,24/7,Ochotnicza Straż Pożarna w Minkowicach Oławskich,7406136458,,
yes,Umieszczeony na zewnętrznej ścianie budynku remizy OSP Iwanowice.,,,,no,50.2217789,,19.9781249,,,,"Gmina Iwanowice, OSP Iwanowice",7474230189,,
yes,Południowo-wschodni narożnik budyku; ściana od ulicy Żeglarskiej,,,,,54.6049251,,18.8027225,,,24/7,Urząd Miasta Helu,7570550308,+48791060604,
,Przy gabinecie ppomocy,,,,yes,50.8081061,,16.327401,,,,TMMP,7580315444,,
yes,Na ścianie frontowej budynku remizy strażackiej w Świdnicy,,,,no,51.887836,,15.390843,,,24/7,OSP Świdnica,7638220623,,
yes,on wall by the left of main entrance to ticket office about one and a half meter above floor,,,,yes,51.213234,,16.1684828,,,24/7,,7650697163,,
,,,,,yes,50.122096,,22.4166335,,,,OSP Budy Łańcuckie Lewe,7661622089,,
yes,,,,,yes,51.1860557,,16.1702899,,,,,7684071930,,
,Na Murku przy Skwerze Rybaka,,,,no,54.7605078,,17.5543993,,,,Miasto Łeba,7684841696,,
,w sekretariacie,,,,yes,50.0931399,,20.1488544,,,,,7785146644,123934172,
yes,przy budynku Nadleśnictwa,,,,no,52.5967243,,15.4982813,,,24/7,Nadleśnictwo Skwierzyna,7785630027,,
private,Samochód ratowniczo-gaśniczy,,,,,50.1074784,,18.4796155,,,,OSP Jejkowice,7825421850,+48 32 4302798,
,,,,,yes,50.1067409,,18.4754726,,,,,7825421851,,
,,,,,no,54.1803838,,17.4955896,,,,LIDL,7830424848,,
,,,,,yes,54.185066,,17.4937264,,,,KP PSP Bytów,7830424849,,
yes,wolnostojący postument,,,,no,54.3544362,,18.6497508,,,,WBiZK,7837639090,+48 58 778 60 00,
,wolnostojący postument,,,,no,54.3552291,,18.6460211,,,,WBiZK,7837741435,+48 58 778 60 00,
yes,wall,,,,,52.5751867,,17.0101196,,,24/7,,7844163622,,
,,,,,no,49.8464005,outdoor,20.0791666,,,,,7856277298,,
yes,wolnostojący postument,,,,no,54.4144469,,18.6004312,,,,WBiZK,7856983796,+48 58 778 60 00,
,elewacja komisariatu,,,,no,54.4101285,,18.5995435,,,24/7,WBiZK,7856997132,+48 58 778 60 00,
,wall,,,,no,54.1866621,,15.5537386,,,24/7,,7866406143,,
yes,wolnostojący postument,,,,no,54.4069829,,18.6148461,,,,WBiZK,7876171364,+48 58 778 60 00,
,W sklepie Media Markt,,,,yes,50.0297452,,21.0037162,,,,,7890385140,,
,na budynku remizy,,,,no,54.6946564,,18.2378067,,,,OSP Leśniewo,8041657665,,
,na budynku szkoły,,,,,54.6973755,,18.2481991,,,,Szkoła Podstawowa w Leśniewie,8041657666,,
private,Łupawa 19A,,,,yes,54.4179211,,17.415386,,,,OSP Łupawa,8070887435,,
,hall,,,,yes,50.0810367,,19.970584,,,,,8093328671,,
,Przedsionek portierni,,,,,54.4714975,,18.4609058,,,,Zespół Szkolno-Przedszkolny nr 4,8145254848,,
,ściana kaplicy,,,,no,54.474017,,18.4898808,,,,Gdyńskie Centrum Zdrowia,8145254849,,
,"ściana budynku, przy aptece",,,,,54.4673307,,18.4870786,,,,Gdyńskie Centrum Zdrowia,8145254850,,
,w portierni Straży Miejskiej,,,,,54.509735,,18.5386021,,,,Urząd Miasta Gdyni,8145264645,,
,"kapsuła w przedsionku urzędu, naprzeciwko portierni",,,,yes,54.5198568,,18.5350108,,,,Urząd Miasta Gdyni,8145264646,,
yes,Na słupie między tablicami informacyjnymi,,,,no,50.0532059,,21.6114499,,,24/7,,8396270687,,
,,,,,yes,50.076455,,20.0341009,,,,,8432300535,,
,,,,,yes,50.0770459,,20.0328923,,,24/7,,8432300536,,
,filar przy informacji,,,,yes,54.5049386,,18.5316899,,,,,8435709915,,
yes,Na ścianie budynku,,,,,49.1585507,,22.4637046,,,24/7,,8440625450,,
yes,wolnostojący postument,,,,no,54.4085166,,18.5884584,,,24/7,WBiZK,8461898904,+48 58 778 60 00,
,"w budynku małej hali, naprzeciw recepcji",,,,yes,50.0683751,,19.9921439,,,,,8503144600,,
,,,,,,53.3882154,,19.1537452,,,,,8519312217,,
yes,Na ścianie przy wejściu do budynku,,,,no,53.3276186,,17.4524367,,,,Nadleśnictwo Runowo,8538788082,,
yes,Patrząc z zewnątrz na lewo od drzwi głównych,,,,no,53.4731224,,17.4440345,,,,Nadleśnictwo Lutówko,8538788087,,
,ściana remizy OSP,,,,no,49.8768971,,20.0444217,,,24/7,,8543774134,,
,Dyżurny Zmianowy,,,,yes,50.0651716,,19.9488779,,,24/7,Straż Ochrony Kolei,8558257175,123935397,
yes,Defibrylator AED znajduje się na zewnętrznej ścianie punktu informacji turystycznej,,,,,50.4997476,,21.5417961,,,24/7,Informacja Turystyczna,8566095370,,
yes,Na frontowej ścianie budynku OSP Rakownia,,,,no,52.5578387,,17.0338703,,,24/7,,8567844717,,
private,Samochód ratowniczo-gaśniczy,,,,,50.1322335,,19.637095,,,,OSP Krzeszowice,8575199570,+48 513447683,
yes,,,,,yes,53.8047475,,21.5722872,,,,Biedronka,8575201945,,
yes,ściana przy drzwiach wejściowych wewnątrz budynku.,,,,yes,50.0004388,,18.4587816,,,Mo-We 07:00-16:00; Th 07:00-18:00; Fr 07:00-14:00,,8647039351,+48 32 459 06 28,
,ściana budynku targowiska,,,,no,53.9279649,,18.7035474,,,24/7,,8664558128,,
,,,,,yes,49.5601954,,20.0396985,,,,,8668965020,,
,wolnostojący postument,,,,no,54.3810915,,18.606126,,,24/7,WBiZK,8669535551,+48 58 778 60 00,
,,,,,,50.2279912,outdoor,19.2756277,,,,,8730865155,,
yes,Po prawej stronie Wejścia na frontowej ścianie budynku,,,,no,51.9494284,,15.0882446,,,24/7,OSP Bobrowice,8734791024,+48 605414784,
,AED znajduje się na korytarzu- parter przy drzwiach wyjściowych,,,,yes,53.4726263,,17.8965095,,,Mo-Fr 07:15-15:15,Nadleśnictwo Zamrzenica,8740330445,+48 52 334 11 75,
,Po wejściu do budynku wejść po schodach;na lewo przy biurze podawczym,,,,yes,53.6955545,,17.5535604,,,,Starostwo Powiatowe w Chojnicach,8760409798,,
permissive,Po wejściu na wprost 10 m na ścianie na lewo od drzwi,,,,yes,53.3572586,,17.0144799,,,,Nadleśnictwo Złotów,8772348171,+48 660 759 974,
,Korytarz wejściowy na półpiętrze,,,,yes,54.587237,,16.8544052,,,,,8796496886,,
,,,,,,51.7336704,,19.4489759,,,,,8814699819,,
yes,wall,,,,,50.1486491,,19.7581048,,,,,8820511231,,
permissive,Zlokalizowany w samochodzie GBA Renault Ochotniczej Straży Pożarnej w Wejherowie,,Budynek Komendy Powiatowej PSP w Wejherowie,,yes,54.6016965,,18.233418,,,24/7,Ochotnicza Straż Pożarna w Wejherowie,8833517463,,
,,,,,yes,51.7497821,,19.441178,,,,,8838880663,,
permissive,"Przy wejściu do sklepu Auchan, obok biurka ochroniarza",,,,yes,54.5861495,,18.3735472,,,,"Centrum Handlowe ""Port Rumia""",8851257287,,
yes,Samochód gaśniczy - uruchomić alarm na elewacji remizy.,,,,,50.6465257,,18.6131482,,,24/7,OSP Solarnia,8856007377,+48 517 96 20 12,
,wewnątrz Auchan na ścianie na prawo od wejścia,,,,yes,54.5030775,,18.5312493,,,,,8862799487,,
,przy kasach biletowych,,,,yes,54.533971,,17.7502611,,,Mo-Su 04:00-00:45,,8868928632,,
yes,Samochód gaśniczy - uruchomić alarm na elewacji remizy.,,,,,50.6991494,,18.5487539,,,24/7,OSP Skrzydłowice,8869185701,,
yes,Samochód gaśniczy - uruchomić alarm na elewacji remizy.,,,,,50.65579,,18.5392216,,,24/7,OSP Koszwice,8869185702,,
yes,Samochód gaśniczy - uruchomić alarm na elewacji remizy.,,,,,50.7153491,,18.5994936,,,24/7,OSP Łagiewniki Wielkie,8869185703,,
yes,W recepcji na lewej ścianie,,,,yes,50.6724515,,18.6885302,,,24/7,,8870311585,,
yes,Rynek Miasta Lubliniec,,,,,50.6689219,,18.6824984,,,24/7,UM Lubliniec,8870311586,,
permissive,,,,,,50.6706051,,18.7079162,,,,EthosEnergy Poland S.A.,8870347239,,
permit,Młyńska 27,,,,yes,50.6745083,,18.6744503,,,Mo-Fr 08:00-17:00,Ottimo Systems,8870358118,,
yes,Na scianie,,,,no,50.6731781,,18.689352,,,24/7,UM Lubliniec,8870363486,,
yes,Przy bramie,,,,,50.6569075,,18.6755776,,,24/7,UM Lubliniec,8870363487,,
yes,Stanowisko Kierowania KP PSP,,,,,50.682728,,18.6776817,,,24/7,Komenda Powiatowa PSP Lubliniec,8870363488,,
,,,,,,50.0453368,,19.4928923,,,,,8891030234,,
,,,,,yes,53.6351533,,19.4578577,,,,OSP Ząbrowo,8906942357,,
permissive,Pojazd pożarniczy GBA IVECO Magirus,,,,yes,51.8961632,,19.8192818,,,24/7,OSP KRASZEW,8928900009,605547220,
yes,"Na prawo od wejścia do przychodni, pod ścianą",,,,no,53.1338856,,23.1550527,,,24/7,Urząd Miejski w Białymstoku,8948536282,,
customers,,Wewnątrz budynku nadleśnictwa.,,,yes,54.6017338,,18.2295579,,,Mo-Fr 07:00-15:00,Nadleśnictwo Wejherowo,8951221428,+48 58 672 98 01,
,W Zespołach Ratownictwa Medycznego,,,,yes,54.6057017,,18.2199377,,,,Falck Medycyna,8951221429,,
