name,phone,email,city,street,buildNr,postalCode,specialization,lat,lon
Centrum urazowe,85 83 18 317,sor-usk@uskwb.pl,Białystok,M. Curie-Skłodowskiej,24A,15-276,,52.9154671,22.52234943288953
Centrum urazowe,"618739432, 618739436",dyrekcja@szpital-strusia.poznan.pl,Poznań,Szwajcarska,3,61-285,Szpitalny oddział ratunkowy,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,dyżurka pielęgnia 672826751 dyż lekarska 672826752,szpital@szpital-chodziez.pl,Chodzież,Stefana Żeromskiego,29.,64-800,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położnictwa i neonatologii,"67 2826700, 67 28 26 761, 67 28 26 762",szpital@szpital-chodziez.pl,Chodzież,Stefana Żeromskiego,29,64-800,Oddział położnictwa i neonatologii,52.9154671,22.52234943288953
Oddział pediatryczny,"pielęgniar. 673528124, dyż. lekarska: 673528122",sekretariat@zzozczarnkow.x.pl,Czarnków,Kościuszki,94,64-700,Oddział pediatryczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"Lekarze:61 222 8178, Pielęgniarki: 61 2228180",poczta@zoz.gniezno.pl,Gniezno,3 Maja,37,62-200,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"61 222 8 151, 61 222 8 093",poczta@szpitalpomnik.pl,Gniezno,3 Maja,37,62-200,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),61 423 85 93,sekretariat@dziekanka.net,Gniezno,Poznańska,15.,62-200,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,lek. 65 32 26 837 pielęgniarki: 65 32 26 845,ginekologia@szpitalgostyn.pl,Gostyń,Karola Marcinkowskiego,8,63-800,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"lek. (61) 44 36 556, położne:(61) 44 36 557",oddz.gin-pol@spzoz-grodzisk.pl,Grodzisk Wielkopolski,Mossego,3.,62-065,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,62 33 22 111,ortopedia@szpitaljarocin.pl,Jarocin,Szpitalna,1,63-200,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,62 33 22 115,ginekologia@szpitaljarocin.pl,Jarocin,Szpitalna,1,63-200,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,"(62) 765 1717, (62) 765 1727",sekretariat@szpital.kalisz.pl,Kalisz,Poznańska,79,62-800,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział kardiologiczny,"62 765 1757, 62 765 1787, (62) 765 1757 ",sekretariat@szpital.kalisz.pl,Kalisz,Poznańska,79,62-800,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,(62) 765 1847 / 48,sekretariat@szpital.kalisz.pl,Kalisz,Poznańska,79,62-800,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział udarowy,62 765 13 56,sekretariat@szpital.kalisz.pl,Kalisz,Poznańska,79,62-800,Oddział udarowy,52.9154671,22.52234943288953
Oddział obserwacyjno-zakaźny,(62) 757 9194,sekretariat@szpital.kalisz.pl,Kalisz,Toruńska,7,62-800,Oddział obserwacyjno-zakaźny,52.9154671,22.52234943288953
Oddział neurochirurgiczny,62 7651356,sekretariat@szpital.kalisz.pl,Kalisz,Poznańska,79,62-800,Oddział neurochirurgiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,(62) 765 18 77,sekretariat@szpital.kalisz.pl,Kalisz,Poznańska,79,62-800,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii szczękowo-twarzowej,(62) 765 1827/1828,sekretariat@szpital.kalisz.pl,Kalisz,Poznańska,79,62-800,Oddział chirurgii szczękowo-twarzowej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,(62) 757 91 17,sekretariat@szpital.kalisz.pl,Kalisz,Toruńska,7,62-800,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział okulistyczny," (62) 765 1817, (62) 765 1818",sekretariat@szpital.kalisz.pl,Kalisz,Poznańska,79,62-800,Oddział okulistyczny,52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),62 757 91 88,dzial.organizacyjny@szpital.kalisz.pl,Kalisz,Toruńska,7,62-800,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"62 7827309, 627827300, położna oddz (62)7827334",sekretariat@szpital.kepno.pl,Kępno,Szpitalna,7.,63-600,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,63 26 26 129,sekretariat@spzozkolo.pl,Koło,Józefa Poniatowskiego,25,62-600,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny, 63 240 4683,o.kardiologiczny@szpital-konin.pl,Konin,Szpitalna,45,62-504,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,63 240 4641,o.neurologii@szpital-konin.pl,Konin,Szpitalna,45,62-504,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział udarowy,63 240 4633,szpital@szpital-konin.pl,Konin,Szpitalna,45.,62-504,Oddział udarowy,52.9154671,22.52234943288953
Oddział chorób zakaźnych,63 240 4402,zakazny@szpital-konin.pl,Konin,Szpitalna,45,62-504,Oddział chorób zakaźnych,52.9154671,22.52234943288953
Oddział neurochirurgiczny,63 240 4427,o.neurochirurgiczny@szpital-konin.pl,Konin,Szpitalna,45,62-504,Oddział neurochirurgiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,63 240 4315,o.ortopedii@szpital-konin.pl,Konin,Szpitalna,45,62-504,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,63 240 4245,ginekologia@szpital-konin.pl,Konin,Kardynała Stefana Wyszyńskiego,1.,62-510,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział okulistyczny,63 240 4359,o.okulistyczny@szpital-konin.pl,Konin,Szpitalna,45,62-504,Oddział okulistyczny,52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),65 511 51 36,sekretariat@szpital.koscian.pl,Kościan,Plac Ignacego Paderewskiego,1A,64-000,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny), 65 511 52 18,sekretariat@szpital.koscian.pl,Kościan,Plac Ignacego Paderewskiego,1A,64-000,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),65 511 52 80 wew.381,sekretariat@szpital.koscian.pl,Kościan,Plac Ignacego Paderewskiego,1 A,64-000,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),65 511 52 80 wew.419,sekretariat@szpital.koscian.pl,Kościan,Plac Ignacego Paderewskiego,1A,64-000,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),65 511 51 83,sekretariat@szpital.koscian.pl,Kościan,Plac Ignacego Paderewskiego,1A,64-000,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),65 511 52 37,sekretariat@szpital.koscian.pl,Kościan,Plac Ignacego Paderewskiego,1 A,64-000,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),65 518 61 47,sekretariat@szpital.koscian.pl,Wonieść,,48,64-030,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),"65 549 61 20, 65 511 51 88",sekretariat@szpital.koscian.pl,Siekowo,,80,64-234,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej, 65 525 04 46,ortopedia@szpital.koscian.pl,Kościan,Szpitalna,7,64-000,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,65 525 04 52,pol-gin@szpital.koscian.pl,Kościan,Szpitalna,7,64-000,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,062 588 04 04,spzoz@krotoszyn.pl,Krotoszyn,Mickiewicza,21,63-700,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej, 62 582 14 19,spzoz@krotoszyn.pl,Krotoszyn,Mickiewicza,21,63-700,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"I piętro: 62 582 12 09, II piętro: 62 582 12 63 ",spzoz@krotoszyn.pl,Krotoszyn,Mickiewicza,21,63-700,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,"pielęgniarki: 65 52 53 390, lek 65 52 53 393",wsz@wsz.leszno.pl,Leszno,Jana Kiepury,45,64-100,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,65 52 53 420,wsz@wsz.leszno.pl,Leszno,Jana Kiepury,45.,64-100,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział udarowy,65 525 34 24,wsz@wsz.leszno.pl,Leszno,Jana Kiepury,45.,64-100,Oddział udarowy,52.9154671,22.52234943288953
Oddział neurochirurgiczny,65 52 53 470,wsz@wsz.leszno.pl,Leszno,Jana Kiepury,45,64-100,Oddział neurochirurgiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,65 52 53 400,wsz@wsz.leszno.pl,Leszno,Jana Kiepury,45,64-100,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,65 52 53 340,wsz@wsz.leszno.pl,Leszno,Jana Kiepury,45.,64-100,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział okulistyczny,65 52 53 454,wsz@wsz.leszno.pl,Leszno,Jana Kiepury,45,64-100,Oddział okulistyczny,52.9154671,22.52234943288953
Oddział neurologiczny,"614427300, 614427301",sekretariat@szpital-nowytomysl.pl,Nowy Tomyśl,Henryka Sienkiewicza,3,64-300,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział udarowy,61 442 74 70,spzoz18@post.pl,Nowy Tomyśl,Henryka Sienkiewicza,3,64-300,Oddział udarowy,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,614427367,ekretariat@szpital-nowytomysl.pl,Nowy Tomyśl,Henryka Sienkiewicza,3.,64-300,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,614427437,sekretariat@szpital-nowytomysl.pl,Nowy Tomyśl,Henryka Sienkiewicza,3,64-300,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny," 61 29 73 629, 61 29 73 626, neonat: 61 29 73 628",szpital@szpital.oborniki.info,Oborniki,Szpitalna,2,64-600,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"lek: 61 297 3640, pielegniarki :61 297 3641",szpital@szpital.oborniki.info,Oborniki,Szpitalna,2,64-600,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział kardiologiczny,62 5951226 ,szpital@szpital.osw.pl,Ostrów Wielkopolski,Bolesława Limanowskiego,20/22,63-400,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,"lek: 62 5951432, pielęgniarki: 62 5951434",szpital@szpital.osw.pl,Ostrów Wielkopolski,Bolesława Limanowskiego,20/22,63-400,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział udarowy,"lek.: 62 5951432, pielęgniarki: 62 5951434",szpital@szpital.osw.pl,Ostrów Wielkopolski,Bolesława Limanowskiego,20/22,63-400,Oddział udarowy,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"lek.: 62 595 12 57, pielęgniarki: 62 595 12 59",szpital@szpital.osw.pl,Ostrów Wielkopolski,Bolesława Limanowskiego,20/22,63-400,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"lek.: 62 5951263, pielęgniarki: 62 5951262",szpital@szpital.osw.pl,Ostrów Wielkopolski,Bolesława Limanowskiego,20/22,63-400,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny),"62 595 12 86 , 62 595 12 11",szpital@szpital.osw.pl,Ostrów Wielkopolski,Bolesława Limanowskiego,20/22,63-400,Oddział psychiatryczny (ogólny),52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,Dyżurka położnych: 62 503 22 78  ,sekretariat@szpital.ostrzeszow.pl,Ostrzeszów,Aleja Wolności,4,63-500,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,"lek.: 672 106 414, pielęgniarki: 672 106 412",kancelaria@szpital.pila.pl,Piła,Ludwika Rydygiera,1,64-920,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,"lek.: 672 106 444, pielęgniarki: 672 106 442",kancelaria@szpital.pila.pl,Piła,Ludwika Rydygiera,1,64-920,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział udarowy,67 210 66 66,kancelaria@szpital.pila.pl,Piła,Ludwika Rydygiera,1,64-920,Oddział udarowy,52.9154671,22.52234943288953
Oddział chirurgii naczyniowej,"pielęgniarki: 672 106 351, lek.: 672 106 354",kancelaria@szpital.pila.pl,Piła,Ludwika Rydygiera,1,64-920,Oddział chirurgii naczyniowej,52.9154671,22.52234943288953
Oddział neurochirurgiczny,"pielęgniarki: 672 106 512, kierownik: 672 106 510",kancelaria@szpital.pila.pl,Piła,Ludwika Rydygiera,1,64-920,Oddział neurochirurgiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"lek.: 672 106 394, pielęgniarki: 672 106 392  ",kancelaria@szpital.pila.pl,Piła,Ludwika Rydygiera,1,64-920,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"lek. 672 106 604, pielęgniarki: 672 106 332",kancelaria@szpital.pila.pl,Piła,Ludwika Rydygiera,1,64-920,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział okulistyczny,"lek.: 672 106 484, pielęgniarki: 672 106 482",kancelaria@szpital.pila.pl,Piła,Ludwika Rydygiera,1,64-920,Oddział okulistyczny,52.9154671,22.52234943288953
Oddział kardiologiczny,"lek.: 62 74 20 773, dyżurka piel. 62 74 20 771",sekretariat@szpitalpeszew.pl,Pleszew,Poznańska,125a,63-300,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"ordynator 62 74 20 891, piel. oddz.62 74 20 833",sekretariat@szpitalpleszew.pl,Pleszew,Poznańska,125a,63-300,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,"dyż. lekarska:61 82 12 326, dyż. piel.61 82 12 375",szpital@lutycka.pl,Poznań,Juraszów,7-19,60-479,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,"lek.neurol.618212 356 / 456, lek.udar.618212388",szpital@lutycka.pl,Poznań,Juraszów,7-19,60-479,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział okulistyczny,"Pielęgniarki: 618212 332, Dyż. Lekarska 61 8212329",szpital@lutycka.pl,Poznań,Juraszów,7-19,60-479,Oddział okulistyczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"Pielęgniarki: 61 8212 471,Dyż. Lek. 618212 288    ",szpital@lutycka.pl,Poznań,Juraszów,7-19,60-479,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"Pielęgniarki: 618212 436, Dyż. Lekarska 61 8212277",szpital@lutycka.pl,Poznań,Juraszów,7-19,60-479,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,"Dyżurka lek 618739259,257 Dyżurka pielęg 618739258",dyrekcja@szpital-strusia.poznan.pl,Poznań,Szwajcarska,3,61-285,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział neurochirurgiczny,"Dyż lek. 618739175, Dyżurka pielęgn.: 618739174",sekretariat_neurochirurgia@szpital-strusia.poznan,Poznań,Szwajcarska,3.,61-285,Oddział neurochirurgiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,Dyż.lek. 61 8739 392 Dyżurka pielęgn.: 61 8739 391,sekretariat@szpital-strusia.poznan.pl,Poznań,Szwajcarska,3,61-285,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,"dyż. lek. 61 8739 122, dyż. piel. 61 8739 123",sekretariat_neurologia@szpital-strusia.poznan.pl,Poznań,Szwajcarska,3,61-285,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział okulistyczny,"dyż. lek. 61 8739 461, dyż. piel. 61 8739 141",dyrekcja@szpital-strusia.poznan.pl,Poznań,Szwajcarska,3,61-285,Oddział okulistyczny,52.9154671,22.52234943288953
Oddział chorób zakaźnych,dyż lek. 61 8739 372 lub 61 8739 367,dyrekcja@szpital-strusia.poznan.pl,Poznań,Szwajcarska,3,61-285,Oddział chorób zakaźnych,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny," 61 8481315, 61 2245281, 61 2245291",sekretariat@raszeja.poznan.pl,Poznań,Adama Mickiewicza,2,60-834,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,"Dyż. lekarska:61 8691794, Dyż. pielęgn.: 618691821",szpital@spsk2.pl,Poznań,Stanisława Przybyszewskiego,49,60-355,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział kardiologiczny,Lekarz dyżurny: 61 854 7822,szpital@spsk2.pl,Poznań,Grunwaldzka,16/18,60-780,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurochirurgiczny,"Dyżurka lekarska: 61 869 1543/1436, 61 869 1432",szpital@spsk2.pl,Poznań,Stanisława Przybyszewskiego,49,60-355,Oddział neurochirurgiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"Kier. oddziału: 618547862, Lek. dyżurny:61 8547865",szpital@spsk2.pl,Poznań,Grunwaldzka,16/18,60-780,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii szczękowo-twarzowej,"61 869 1400, 61 869 1402",szczekowo-twarzowa@spsk2.pl,Poznań,Stanisława Przybyszewskiego,49,60-355,Oddział chirurgii szczękowo-twarzowej,52.9154671,22.52234943288953
Oddział okulistyczny,"Lekarz dyżurny: 61 854 7861, pielęgn.: 61 854 7860",szpital@spsk2.pl,Poznań,Grunwaldzka,16/18,60-780,Oddział okulistyczny,52.9154671,22.52234943288953
Oddział neurologiczny dla dzieci,"618491300, 618491649",chorobyzakazne@skp.ump.edu.pl,Poznań,Szpitalna,27/33,60-572,Oddział neurologiczny dla dzieci,52.9154671,22.52234943288953
Oddział chorób zakaźnych dla dzieci,"618491300,   618491649",chorobyzakazne@skp.ump.edu.pl,Poznań,Szpitalna,27/33,60-572,Oddział chorób zakaźnych dla dzieci,52.9154671,22.52234943288953
Oddział neurochirurgiczny dla dzieci,"61 8491200, lek. 618491267, piel 618491568 ",chirurgia@skp.ump.edu.pl,Poznań,Szpitalna,27/33,60-572,Oddział neurochirurgiczny dla dzieci,52.9154671,22.52234943288953
Oddział psychiatryczny (ogólny) dla dzieci,"618491261, 618491358",sekretpsychdzieci@skp.ump.edu.pl,Poznań,Szpitalna,27/33,60-572,Oddział psychiatryczny (ogólny) dla dzieci,52.9154671,22.52234943288953
Oddział udarowy,"(61) 22-74-171, (61) 22-74-173",sekretariat@cmhcp.eu,Poznań,28 Czerwca 1956 r.,194,61-485,Oddział udarowy,52.9154671,22.52234943288953
Oddział neurologiczny,"lek: 612274171, pielęgn. 612274173, ogól.612274200",sekretariat@cmhcp.eu,Poznań,28 Czerwca 1956 r.,194,61-485,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"lek.: (61) 22-74-121, pielegn.:(61) 22-74-123",ortopedia@cmhcp.eu,Poznań,28 Czerwca 1956 r.,194,61-485,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział kardiologiczny,"Dyżurka lekarzy: (61) 22-74-161, (61) 22-74-165",sekretariat@cmhcp.eu,Poznań,28 Czerwca 1956 r.,194,61-485,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,"61 846 45 31,  61 846 45 47",kontakt.chirurgia@szpitalmswia.poznan.pl,Poznań,Dojazd,34.      ,60-631,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział chirurgii naczyniowej,"61 846 45 31,  61 846 45 47",kontakt.chirurgia@szpitalmswia.poznan.pl,Poznań,Dojazd,34.      ,60-631,Oddział chirurgii naczyniowej,52.9154671,22.52234943288953
Oddział kardiologiczny,"61/89-84-274,  61/89-84-272",interna@szpitalwpuszczykowie.com.pl,Puszczykowo,Józefa Ignacego Kraszewskiego,11.,62-041,Oddział kardiologiczny,52.9154671,22.52234943288953
Oddział neurologiczny,"61/89-84-154, lek. : 61/89-84-152",neurologia@szpitalwpuszczykowie.com.pl,Puszczykowo,Józefa Ignacego Kraszewskiego,11,62-041,Oddział neurologiczny,52.9154671,22.52234943288953
Oddział neurochirurgiczny,"61/89-84-194, lek. 61/89-84-192",neurochirurgia@szpitalwpuszczykowie.com.pl,Puszczykowo,Józefa Ignacego Kraszewskiego,11,62-041,Oddział neurochirurgiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"61/89-84-164, 61/89-84-162",ortopedia@szpitalwpuszczykowie.com.pl,Puszczykowo,Józefa Ignacego Kraszewskiego,11,62-041,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"dyż. lek. (61) 8-310-365,(61) 8-310-373",ko3t@orsk.pl,Poznań,28 Czerwca 1956 r.,135/147,61-545,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,65 5452162,sekretariat@szpitalrawicz.pl,Rawicz,gen. Grota Roweckiego,6,63-900,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,63 275 2 323 /324 /325,biuro@szpital.slupca.pl,Słupca,Romualda Traugutta,7,62-400,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chirurgiczny ogólny,"dyż. lek. 612927201 – 202, dyż. piel. 612927203",sekretariat@szamotuly.med.pl,Szamotuły,Sukiennicza,13.,64-500,Oddział chirurgiczny ogólny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"dyż. lek. 61 29 27 262, dyż.gin. 61 29 27 283",sekretariat@szamotuly.med.pl,Szamotuły,Sukiennicza,13.,64-500,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział położniczo-ginekologiczny,"cent. 612854031: piel. wew. 258, lek. 885 493 156",oddzial.ginekologiczny@szpitalsredzki.pl,Środa Wielkopolska,Żwirki i Wigury,10,63-000,Oddział położniczo-ginekologiczny,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,dyz. piel. 61 22 46 341,wor@reumatologia.srem.net,Śrem,Adama Mickiewicza,95,63-100,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
Oddział chirurgii urazowo-ortopedycznej,"lek. 632805505, piel. 632805503",sekretariat@szpital.turek.pl,Turek,Poduchowne,1,62-700,Oddział chirurgii urazowo-ortopedycznej,52.9154671,22.52234943288953
